dataset,method,direction,seed,num_genuine,num_impostor,target_far,selected_threshold,empirical_far,tar,eer,eer_threshold,source_file
IITD,B1,within,2026,753,68523,0.01,0.3236435055732727,0.0097923325014958,0.9548472775564408,0.0278884462151393,0.2573513686656952,docs\results\threshold_evidence_iitd.csv
IITD,B1,within,2026,753,68523,0.001,0.476300299167633,0.0009631802460487,0.8738379814077025,0.0278884462151393,0.2573513686656952,docs\results\threshold_evidence_iitd.csv
IITD,B1,within,2705,726,66066,0.01,0.3080192804336548,0.0083855538400992,0.975206611570248,0.0201616565251631,0.2524903416633606,docs\results\threshold_evidence_iitd.csv
IITD,B1,within,2705,726,66066,0.001,0.4425153136253357,0.0009535918626827,0.9256198347107438,0.0201616565251631,0.2524903416633606,docs\results\threshold_evidence_iitd.csv
IITD,B6,within,42,714,64974,0.01,0.2699302732944488,0.0092344630159756,0.9215686274509804,0.046049188905802,0.1847527623176574,docs\results\threshold_evidence_iitd.csv
IITD,B6,within,42,714,64974,0.001,0.4012379944324493,0.0009388370732908,0.8249299719887955,0.046049188905802,0.1847527623176574,docs\results\threshold_evidence_iitd.csv
IITD,B6,within,2026,753,68523,0.01,0.2703275382518768,0.0097485515812209,0.9389110225763612,0.0318725099601119,0.1999398469924926,docs\results\threshold_evidence_iitd.csv
IITD,B6,within,2026,753,68523,0.001,0.4168363213539123,0.0009485866059571,0.8406374501992032,0.0318725099601119,0.1999398469924926,docs\results\threshold_evidence_iitd.csv
IITD,B6,within,2705,726,66066,0.01,0.2518374621868133,0.0095359186268277,0.9724517906336088,0.0192837465564885,0.21796914935112,docs\results\threshold_evidence_iitd.csv
IITD,B6,within,2705,726,66066,0.001,0.3887240588665008,0.0008930463475918,0.8980716253443526,0.0192837465564885,0.21796914935112,docs\results\threshold_evidence_iitd.csv
